Player,#,Pos,Sh,Ht,Wt,Born,Birthplace
Noel Acciari,55,C,R,5'11",204,Dec 1 1991,Johnston RI USA
Justin Brazeau,16,RW,R,6'6",232,Feb 2 1998,New Liskeard ON CAN
Egor Chinakhov,59,RW,L,6'1",203,Feb 1 2001,Omsk RUS
Sidney Crosby,87,C,L,5'11",200,Aug 7 1987,Cole Harbour NS CAN
Connor Dewar,19,C,L,5'10",187,Jun 26 1999,The Pas MB CAN
Filip Hallander,11,C,L,6'1",203,Jun 29 2000,Sundsvall SWE
Avery Hayes,85,RW,R,5'10",180,Oct 10 2002,Westland MI USA
Kevin Hayes,13,RW,L,6'3",217,May 8 1992,Dorchester MA USA
Ben Kindel,81,C,R,5'11",182,Apr 19 2007,Coquitlam BC CAN
Blake Lizotte,46,C,L,5'9",176,Dec 13 1997,Lindstrom MN USA
Evgeni Malkin,71,C,L,6'5",213,Jul 31 1986,Magnitogorsk RUS
Anthony Mantha,39,RW,L,6'5",240,Sep 16 1994,Longueuil QC CAN
Tommy Novak,18,C,L,6'1",190,Apr 28 1997,St. Paul MN USA
Rickard Rakell,67,RW,R,6'1",194,May 5 1993,Sundbyberg SWE
Bryan Rust,17,RW,R,5'11",202,May 11 1992,Pontiac MI USA
Connor Clifton,75,D,R,6'0",196,Apr 28 1995,Matawan NJ USA
Samuel Girard,49,D,L,5'10",170,May 12 1998,Roberval QC CAN
Ryan Graves,27,D,L,6'5",225,May 21 1995,Yarmouth NS CAN
Erik Karlsson,65,D,R,6'0",185,May 31 1990,Landsbro SWE
Kris Letang,58,D,R,6'0",199,Apr 24 1987,Montréal QC CAN
Ryan Shea,5,D,L,6'1",200,Feb 11 1997,Milton MA USA
Ilya Solovyov,7,D,L,6'3",208,Jul 20 2000,Mogilev BLR
Jack St. Ivany,3,D,R,6'4",197,Jul 22 1999,Manhattan Beach CA USA
Parker Wotherspoon,28,D,L,6'1",190,Aug 24 1997,Surrey BC CAN
Arturs Silovs,37,G,L,6'4",208,Mar 22 2001,Riga LVA
Stuart Skinner,74,G,L,6'4",215,Nov 1 1998,Edmonton AB CAN
