Player,Pos,GP,G,A,P,+/-,PIM,PPG,SHG,GWG,OTG,S,S%,TOI/G,SFT/G,FO%
Sidney Crosby,C,68,29,45,74,0,44,10,0,4,1,160,18.1,19:14,21.8,55.2
Erik Karlsson,D,75,15,51,66,+8,22,4,0,0,0,176,8.5,23:36,23.8,0.0
Bryan Rust,RW,72,29,36,65,0,26,8,1,4,0,183,15.8,19:57,23.3,13.3
Anthony Mantha,RW,80,32,30,62,+11,41,7,0,2,0,149,21.5,15:09,17.6,28.9
Evgeni Malkin,C,56,19,42,61,+13,61,4,0,3,0,148,12.8,17:36,19.5,44.5
Rickard Rakell,RW,60,24,24,48,-2,8,7,1,1,0,166,14.5,18:57,21.6,36.0
Egor Chinakhov,RW,72,21,21,42,-2,10,2,0,4,0,140,15.0,13:29,17.1,33.3
Tommy Novak,C,81,16,26,42,+3,24,5,0,2,1,128,12.5,14:13,18.1,42.5
Justin Brazeau,RW,63,17,17,34,+6,14,3,0,4,0,103,16.5,12:35,16.4,0.0
Ben Kindel,C,76,17,17,34,-5,18,4,1,4,0,150,11.3,15:01,18.5,43.5
Ryan Shea,D,79,6,28,34,+30,22,0,0,0,0,71,8.5,18:51,20.9,0.0
Kris Letang,D,74,3,31,34,-4,38,1,0,2,2,104,2.9,21:41,22.5,0.0
Connor Dewar,C,78,14,16,30,+16,19,0,1,2,0,110,12.7,13:55,18.7,47.4
Parker Wotherspoon,D,80,3,27,30,+17,55,0,0,1,0,70,4.3,20:10,22.0,0.0
Noel Acciari,C,66,13,12,25,+14,25,0,0,1,0,93,14.0,13:42,18.2,52.0
Blake Lizotte,C,55,7,12,19,+6,25,0,1,1,0,49,14.3,13:52,19.1,50.0
Samuel Girard,D,60,3,16,19,+17,23,0,0,1,0,41,7.3,18:06,21.2,0.0
Elmer Soderblom,LW,58,6,6,12,0,21,0,0,1,0,68,8.8,11:04,14.8,37.5
Ilya Solovyov,D,29,1,7,8,0,14,0,0,0,0,21,4.8,12:41,16.8,0.0
Ville Koivunen,RW,38,2,5,7,-8,10,1,0,0,0,34,5.9,12:36,15.9,100.0
Jack St. Ivany,D,19,0,7,7,+5,6,0,0,0,0,17,0.0,16:05,18.1,0.0
Kevin Hayes,RW,27,4,2,6,-4,8,0,0,1,0,43,9.3,12:25,16.0,37.3
Connor Clifton,D,49,2,4,6,+5,53,0,0,1,0,34,5.9,16:43,18.7,0.0
Rutger McGroarty,RW,23,2,3,5,-3,4,0,0,0,0,36,5.6,11:49,15.7,47.1
Filip Hallander,C,13,1,3,4,+4,2,0,1,1,0,22,4.5,13:09,18.0,0.0
Avery Hayes,RW,15,3,0,3,-5,12,0,0,0,0,22,13.6,11:00,14.0,20.0
Mathew Dumba,D,11,1,2,3,-5,11,0,0,0,0,7,14.3,14:56,18.1,0.0
Harrison Brunicke,D,9,1,0,1,-4,6,0,0,0,0,8,12.5,15:43,19.0,0.0
Ryan Graves,D,21,1,0,1,-3,10,0,0,0,0,20,5.0,15:21,18.5,0.0
Caleb Jones,D,7,0,1,1,+1,0,0,0,0,0,5,0.0,17:10,20.6,0.0
Joona Koppanen,LW,12,0,1,1,-1,2,0,0,0,0,7,0.0,12:15,16.8,43.9
Tristan Broz,C,1,0,0,0,-1,0,0,0,0,0,2,0.0,11:30,15.0,50.0
Bokondji Imama,LW,2,0,0,0,0,5,0,0,0,0,2,0.0,7:39,10.0,0.0
Owen Pickering,D,4,0,0,0,-3,2,0,0,0,0,1,0.0,12:06,18.3,0.0
